,date,description,emphasizedKeywords,position,searchQuery/countryCode,searchQuery/device,searchQuery/domain,searchQuery/languageCode,searchQuery/locationUule,searchQuery/page,searchQuery/resultsPerPage,searchQuery/term,searchQuery/type,title,type,url
0,,by H Sabogal · 2021 — Análisis de Pobreza en Colombia. a. Alfabestismo versus nivel educativo.b. Alfabestismo versus actividad laboral.c. Alfabetismo versus problemas de salud.,Análisis de Pobreza en Colombia,1,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,un análisis de la pobreza en colombia basado en aprendizaje,organic,https://expeditiorepositorio.utadeo.edu.co/bitstream/handle/20.500.12010/22282/Trabajo%20de%20grado.pdf?sequence=1&isAllowed=y
1,,"Entidad responsable de la planeación, levantamiento, procesamiento, análisis y difusión de las estadísticas oficiales de Colombia.",análisis | Colombia,2,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Pobreza monetaria - DANE,organic,https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-monetaria
2,,El DANE calcula y publica los resultados de las dos mediciones oficiales de pobreza en Colombia: Pobreza Monetaria y Pobreza Multidimensional.,pobreza en Colombia | Pobreza | Pobreza,3,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Pobreza y desigualdad - DANE,organic,https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-y-desigualdad
3,2019-06-01T12:00:00.000Z,"Para aclarar la situación, miremos ahora la pobreza multidimensional: el índice nacional pasó de 17,8 % en el 2016 a 19,6 % en el 2018. El ...",pobreza,4,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Aumento de la pobreza en Colombia no debe subestimarse,organic,https://www.eltiempo.com/economia/sectores/analisis-del-aumento-de-las-cifras-de-pobreza-en-colombia-370046
4,2021-09-02T12:00:00.000Z,"Para el año 2020, en Colombia el porcentaje de personas en condición de pobreza multidimensional fue de 18,1%, 0,6 puntos porcentuales ...",Colombia | pobreza,5,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Principales resultados del Indice de Pobreza ...,organic,https://www.ccb.org.co/observatorio/Analisis-Economico/Analisis-Economico/Crecimiento-economico/Noticias/Principales-resultados-del-Indice-de-Pobreza-Multidimensional-y-de-la-Encuesta-de-Calidad-de-Vida-2020
5,,by CE Ramírez · 2002 · Cited by 43 — El fenómeno de la pobreza en Colombia es una compleja red de factores entrelazados. Las definiciones actuales se circunscriben a indicadores estándar ...,pobreza en Colombia,6,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Vista de POBREZA EN COLOMBIA - Universidad Icesi,organic,https://www.icesi.edu.co/revistas/index.php/estudios_gerenciales/article/view/96/html
6,2021-09-01T12:00:00.000Z,"En Colombia, los hogares son considerados pobres multidimensionalmente cuando tienen privación en por lo menos el 33% de los indicadores (DANE, ...",Colombia | pobres,7,US,DESKTOP,google.com,,,1,10,analisis de pobreza en colombia,SEARCH,Perspectiva multidimensional de la pobreza en los hogares ...,organic,https://sociedadyeconomia.univalle.edu.co/index.php/sociedad_y_economia/article/view/10734/14065
7,,by CE Ramírez · 2002 · Cited by 43 — El fenómeno de la pobreza en Colombia es una compleja red de factores entrelazados. Las definiciones actuales se circunscriben a indicadores estándar ...,pobreza en Colombia,8,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,POBREZA EN COLOMBIA: TIPOS DE MEDICIÓN Y ...,organic,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232002000400004
8,2019-06-01T12:00:00.000Z,"Para aclarar la situación, miremos ahora la pobreza multidimensional: el índice nacional pasó de 17,8 % en el 2016 a 19,6 % en el 2018. El ...",pobreza,9,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Aumento de la pobreza en Colombia no debe subestimarse,organic,https://www.eltiempo.com/economia/sectores/analisis-del-aumento-de-las-cifras-de-pobreza-en-colombia-370046
9,,"by IL Farias Escobar · 2020 — La pobreza y el desempleo en Colombia son causados por factores como la educación, el mal manejo político de los recursos, la inequidad, el conflicto armado, ...",pobreza | desempleo en Colombia,10,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Analisis del estado del desempleo.pdf - Repositorio Digital tdea,organic,https://dspace.tdea.edu.co/bitstream/handle/tda/500/Analisis%20del%20estado%20del%20desempleo.pdf?sequence=1&isAllowed=y
10,2020-08-03T12:00:00.000Z,El pasado 14 de julio el DANE presentó los resultados preliminares del Índice de Pobreza Multidimensional (IPM) obtenidos a través del análisis ...,Pobreza | análisis,11,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,La pobreza en Colombia antes y después de la COVID-19,organic,https://razonpublica.com/la-pobreza-colombia-despues-la-covid-19/
11,,"by LF Aguado-Quintero · 2010 · Cited by 24 — Un hogar en Colombia se considera pobre si sus ingresos en pesos colombianos son menores a 1 142 097, mientras que en el Valle del Cauca esta cifra es de 872 ...",Colombia | pobre,12,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Medición de pobreza a partir de la percepción de los ...,organic,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-74252010000400009
12,,"by C Tassara · 2015 · Cited by 26 — relacionados con las políticas públicas de lucha contra la pobreza, esbozando al mismo tiempo un análisis crítico de su manejo en Colombia.",pobreza | análisis | Colombia,13,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Políticas públicas de protección social y lucha contra la ...,organic,https://revistas.javeriana.edu.co/index.php/papelpol/article/view/15291/13649
13,,"Se concluyó que una de las más apropiadas es el índice de pobreza multidimensional, el cual está compuesto por una serie de variables tales como educación, ...",pobreza,14,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Tributación y pobreza en Colombia: un análisis desde la ...,organic,http://portal.amelica.org/ameli/journal/292/2921265004/html/
14,,by AP López Velázquez · 2005 · Cited by 8 — sobre pobreza en Colombia durante la última década1 ... Inicialmente se hace el análisis de algunas de las ... ANÁLISIS DE LAS INVESTIGACIONES SOBRE.,pobreza en Colombia | análisis | ANÁLISIS,15,US,DESKTOP,google.com,,,2,10,analisis de pobreza en colombia,SEARCH,Estado del arte de las investigaciones realizadas sobre ...,organic,https://ciencia.lasalle.edu.co/cgi/viewcontent.cgi?article=1106&context=eq
15,,by FA Daza-Ladino · 2018 — UNIVERSIDAD CATOLICA DE COLOMBIA. FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS. PROGRAMA DE ECONOMIA. MODALIDAD PRESENCIAL NOCTURNA. BOGOTA D.C.. 2018.,COLOMBIA,16,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,analisis de coyuntura de pobreza multidimensional en,organic,https://repository.ucatolica.edu.co/bitstream/10983/22656/1/ENTREGA%20FINAL%20ANDRES%20MARTINEZ%20Y%20FREDY%20DAZA.pdf
16,,"Centrados en este objetivo, el presente documento hace un análisis más profundo sobre las características de los pobres extremos en Colombia, utilizando los ...",análisis | pobres | Colombia,17,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,Pobreza Monetaria Extrema en Colombia - Prosperidad Social,organic,http://centrodedocumentacion.prosperidadsocial.gov.co/2020/Transparencia/Estudios-e-Investigaciones/2020_POBREZA_MONETARIA_EXTREMA_EN_COLOMBIA_2018.pdf
17,,"by AC POVEDA · 2006 · Cited by 1 — CRECIMIENTO, DESIGUALDAD Y POBREZA: UN ANÁLISIS DE LA VIOLENCIA EN. COLOMBIA. Revista de Investigación, julio-diciembre, año/vol.",POBREZA | ANÁLISIS | COLOMBIA,18,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,"Redalyc. Crecimiento, desigualdad y pobreza: un análisis de ...",organic,http://www.redalyc.org/pdf/952/95260208.pdf
18,,by AP López Velázquez · 2005 · Cited by 8 — sobre pobreza en Colombia durante la última década1 ... Inicialmente se hace el análisis de algunas de las ... ANÁLISIS DE LAS INVESTIGACIONES SOBRE.,pobreza en Colombia | análisis | ANÁLISIS,19,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,Estado del arte de las investigaciones realizadas sobre ...,organic,https://ciencia.lasalle.edu.co/cgi/viewcontent.cgi?article=1106&context=eq
19,,"by IIC DE LOS POBRES — En cuanto al análisis regional de la pobreza se observa que la región más pobre de Colombia sigue siendo Choco, con una incidencia de la.",análisis | pobreza | pobre | Colombia,20,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,Contexto y caracterización de los hogares en situación de ...,organic,https://info.undp.org/docs/pdc/Documents/COL/Investigaci%C3%B3n_Caracterizacio%CC%81n%20de%20los%20pobres_LAR_Sin%20publicar.pdf
20,,"Ram. 17, 1442 AH — Respecto a la pobreza extrema, el Dane informó que Colombia pasó de tener al 9,6% de su población en esta condición al 15,1% en 2020. En las ...",pobreza | Colombia,21,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,"En 2020, la pobreza en Colombia llegó al 42,5% de la ...",organic,https://forbes.co/2021/04/29/economia-y-finanzas/en-2020-la-pobreza-en-colombia-llego-al-425-de-la-poblacion-dane/
21,,"by M Meléndez · 2021 — Downloadable! Entre 2000 y 2014, Colombia experimentó un crecimiento económico significativo junto con una importante reducción de la pobreza y la ...",Colombia | pobreza,22,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,un análisis de incidencia del gasto social y los impuestos,organic,https://ideas.repec.org/p/tul/ceqwps/107.html
22,,"by VR Morris · Cited by 18 — Conceptual and empirical analysis. Víctor Reyes Morris**. Universidad Nacional de Colombia, Sede Bogotá. Resumen. Pobreza y exclusión son dos términos que ...",analysis | Colombia | Pobreza,23,US,DESKTOP,google.com,,,3,10,analisis de pobreza en colombia,SEARCH,“Pobre del pobre”. Pobreza y exclusión. Análisis conceptual* y ...,organic,https://revistas.unal.edu.co/index.php/recs/article/download/9621/10194/16725
23,,"Análisis del informe de estado de familias de la Red Juntos. Informe de investigación, Fedesarrollo, agosto de 2010. 19 El logro 3 (la familia vinculada al ...",Análisis,24,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Mediciones de pobreza en Colombia y seguimiento a la gestión,organic,https://www.repository.fedesarrollo.org.co/bitstream/11445/343/1/Mediciones-de-pobreza-en-Colombia-LogrosRed-Unidos_VF.pdf
24,,"by VR Morris · Cited by 18 — Conceptual and empirical analysis. Víctor Reyes Morris**. Universidad Nacional de Colombia, Sede Bogotá. Resumen. Pobreza y exclusión son dos términos que ...",analysis | Colombia | Pobreza,25,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,“Pobre del pobre”. Pobreza y exclusión. Análisis conceptual* y ...,organic,https://revistas.unal.edu.co/index.php/recs/article/download/9621/10194/16725
25,,"by KJR Suarez · 2021 — La desigualdad y la pobreza constituyen los fenómenos sociales que más interés han despertado entre economistas, políticos y organismos ...",pobreza,26,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Desigualdad y pobreza en Colombia: ¿Cuál es el dilema?,organic,https://revistas.udem.edu.co/index.php/economico/article/view/3940
26,,"by JAG López · 2020 · Cited by 8 — El Departamento Nacional de Estadística (DANE) identificó que, para el año 2018, la pobreza monetaria en Colombia aumentó en un 0,1 %; y la multidimensional, en ...",pobreza | Colombia,27,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Vista de La Pobreza Multidimensional y su relación con el ...,organic,https://publicaciones.unaula.edu.co/index.php/VisionContable/article/view/733/1031
27,,"by LVL Muñoz · 2019 · Cited by 18 — Los resultados muestran bajos niveles en la provisión de servicios públicos para las poblaciones rurales, en comparación con los altos niveles registrados en ...",,28,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Pobreza y subdesarrollo rural en Colombia. Análisis desde la ...,organic,https://revistas.udea.edu.co/index.php/estudiospoliticos/article/view/335024/20792097
28,2021-04-29T12:00:00.000Z,"Respecto a la pobreza extrema, el Dane informó que Colombia pasó de tener al 9,6% de su población en esta condición al 15,1% en 2020. En las ...",pobreza | Colombia,29,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,"En 2020, la pobreza en Colombia llegó al 42,5% de la ...",organic,https://forbes.co/2021/04/29/economia-y-finanzas/en-2020-la-pobreza-en-colombia-llego-al-425-de-la-poblacion-dane/
29,,"by DF León · 2017 · Cited by 2 — Por lo anterior, este artículo examina el fenómeno de la pobreza en Colombia dentro del contexto del conflicto armado y propone como marco evaluativo de bien- ...",pobreza en Colombia,30,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Un análisis a partir del enfoque de capacidades de Amartya Sen,organic,https://revistas.uis.edu.co/index.php/revistacyp/article/view/6990
30,,"by NAF Muñoz · 2019 — En Colombia estos dos indicadores son cada vez más alarmantes y preocupantes pues desde hace algunos años va en aumento, lo que representa una problemática para ...",Colombia,31,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,análisis de la relación entre el desempleo y la pobreza en,organic,https://repository.ucc.edu.co/bitstream/20.500.12494/13219/1/2019_An%C3%A1lisis_Relaci%C3%B3n_Desempleo.pdf
31,,"ocasiones políticos, por este motivo la necesidad del análisis de factores que ... analizo la relación existente entre la violencia colombiana y la pobreza.",análisis | colombiana | pobreza,32,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,PRINCIPALES FACTORES DETERMINANTES DE LA ...,organic,https://revistas.unimilitar.edu.co/index.php/CREFCE/article/download/3926/3001/
32,,"Centrados en este objetivo, el presente documento hace un análisis más profundo sobre las características de los pobres extremos en Colombia, utilizando los ...",análisis | pobres | Colombia,33,US,DESKTOP,google.com,,,4,10,analisis de pobreza en colombia,SEARCH,Pobreza Monetaria Extrema en Colombia - Prosperidad Social,organic,http://centrodedocumentacion.prosperidadsocial.gov.co/2020/Transparencia/Estudios-e-Investigaciones/2020_POBREZA_MONETARIA_EXTREMA_EN_COLOMBIA_2018.pdf
33,,"by JAG López · 2020 · Cited by 8 — El Departamento Nacional de Estadística (DANE) identificó que, para el año 2018, la pobreza monetaria en Colombia aumentó en un 0,1 %; y la multidimensional, en ...",pobreza | Colombia,34,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,Vista de La Pobreza Multidimensional y su relación con el ...,organic,https://publicaciones.unaula.edu.co/index.php/VisionContable/article/view/733/1031
34,,"by DF León · 2017 · Cited by 2 — Por lo anterior, este artículo examina el fenómeno de la pobreza en Colombia dentro del contexto del conflicto armado y propone como marco evaluativo de bien- ...",pobreza en Colombia,35,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,Un análisis a partir del enfoque de capacidades de Amartya Sen,organic,https://revistas.uis.edu.co/index.php/revistacyp/article/view/6990
35,,"by S Piñera · 1979 · Cited by 2 — Cuantificación, análisis y descripción de la pobreza en Colombia · Descargar · Fecha · Autor · Símbolo ONU · Metadatos · Temas CEPAL · Temas Naciones Unidas · País / ...",análisis | pobreza en Colombia,36,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,"Cuantificación, análisis y descripción de la pobreza en ...",organic,https://repository.eclac.org/handle/11362/35418
36,,by CAR Agudelo · 2016 · Cited by 1 — Volver a los detalles del artículo Biodiversidad y pobreza en Colombia: un análisis desde el enfoque institucional Descargar Descargar PDF. Thumbnails,pobreza en Colombia | análisis,37,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,Vista de Biodiversidad y pobreza en Colombia - revista UD,organic,https://revistas.udistrital.edu.co/index.php/cpaz/article/view/10298/12151
37,,A su vez se entiende que el concepto de pobreza integra tres postulados básicos: La pobreza denigra la dignidad de la persona. La pobreza es una construcción ...,pobreza | pobreza | pobreza,38,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,IIDH - Pobreza y Derechos Humanos,organic,https://www.iidh.ed.cr/multic/pobreza_y_derechos_humanos_.aspx?contenidoid=25183de7-e258-4a9c-9ac4-b67b211a3eb9
38,2021-05-23T12:00:00.000Z,"Con las últimas cifras presentadas por el Dane queda claro el panorama social de Colombia: en 2020, 72,7% de la población o vive bajo la ...",Colombia,39,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,"Colombia: 72,7% entre pobres y vulnerables - Portafolio",organic,https://www.portafolio.co/opinion/cecilia-lopez-montano/colombia-72-7-entre-pobres-y-vulnerables-analisis-552197
39,,"Center of Analysis of Social Exclusion, Report 5, London School of Economics,. 17-21, Londres. Hobcraft, J. (1999). Intergenerational and life-course ...",Analysis,40,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,POBREZA Y PRIMERA INFANCIA EN COLOMBIA - De Cero a ...,organic,http://www.deceroasiempre.gov.co/Prensa/CDocumentacionDocs/Bolet%C3%ADn%20No.%201%20Pobreza%20y%20primera%20infancia%20en%20Colombia.pdf
40,,by E Nina — Para lograr un análisis de la deuda social relacionado con la pobreza y avanzar en su conocimiento es necesario iniciar con una pregunta ¿cuántos son los pobres ...,análisis | pobreza | pobres,41,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,"Deuda social, pobreza y política social en Colombia Por ...",organic,https://odsal.oducal.com/documentos/deuda-social-pobreza-y-politica-social-en-colombia_1566236870.pdf
41,,"by FA Rueda Devivero · 2005 — ... de la pobreza en Colombia : un análisis desde la econometría espacial ... la especificación y estimación de un modelo de determinantes de pobreza, ...",pobreza en Colombia | análisis | pobreza,42,US,DESKTOP,google.com,,,5,10,analisis de pobreza en colombia,SEARCH,Fenómenos de difusión y determinantes de la pobreza en ...,organic,https://repositorio.utb.edu.co/handle/20.500.12585/9808
42,,"by GO García Rodríguez · 2015 · Cited by 6 — Así pues, la situación expuesta requiere que sea examinado el contenido mismo de la pobreza en tanto personas que usualmente no serían contempladas como pobres ...",pobreza | pobres,43,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,"la pobreza oculta, retos y discusiones - Colombia - SciELO",organic,http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2219-71682015000200006
43,2020-10-15T12:00:00.000Z,Análisis Pobreza subio en 2019 en Colombia y aumentara mas por la pandemia · La pobreza repuntó en · La oficina nacional de estadística reveló las ...,Análisis Pobreza | Colombia | pobreza,44,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,Análisis Pobreza subio en 2019 en Colombia y aumentara ...,organic,https://redmas.com.co/w/pobreza-subio-en-2019-en-colombia-y-aumentara-mas-por-la-pandemia?redirect=%2Fw%2Flos-toques-de-queda-los-decretamos-las-autoridades-alcalde-de-quibdo%3FinheritRedirect%3Dtrue%26color%3D&seccion=Econom%C3%ADa&color=
